Rep.No,Strain,P2.Outcome,Time.Weeks,Treat
1,1,0.951456311,w1,Sib
2,1,0.867256637,w1,Sib
3,1,0.723247232,w1,Sib
4,1,0.712389381,w1,Sib
5,1,0.779792746,w1,Sib
6,1,0.796747967,w1,Sib
7,1,0.976228209,w1,Sib
8,1,0.91643454,w1,Sib
9,1,0.9500998,w1,Sib
10,1,0.79468599,w1,Sib
11,2,0.903225806,w1,Non-Sib
12,2,0.863247863,w1,Non-Sib
13,2,0.934782609,w1,Non-Sib
14,2,0.962962963,w1,Non-Sib
15,2,0.957746479,w1,Non-Sib
16,2,0.913043478,w1,Non-Sib
17,2,1,w1,Non-Sib
18,2,0.732142857,w1,Non-Sib
19,2,0.985074627,w1,Non-Sib
1,1,0.893617021,w2,Sib
2,1,0.666666667,w2,Sib
3,1,0.782608696,w2,Sib
4,1,0.563758389,w2,Sib
5,1,0.597560976,w2,Sib
6,1,0.664484452,w2,Sib
7,1,0.865168539,w2,Sib
8,1,0.661016949,w2,Sib
9,1,0.829317269,w2,Sib
10,1,0.788732394,w2,Sib
11,2,0.62745098,w2,Non-Sib
12,2,0.5,w2,Non-Sib
13,2,0.647058824,w2,Non-Sib
14,2,0.954545455,w2,Non-Sib
15,2,0.954545455,w2,Non-Sib
16,2,0.378378378,w2,Non-Sib
17,2,0.916666667,w2,Non-Sib
18,2,0.285714286,w2,Non-Sib
19,2,0.4,w2,Non-Sib
1,1,0,w3,Sib
2,1,0,w3,Sib
3,1,0.770642202,w3,Sib
4,1,0.746192893,w3,Sib
5,1,0.780876494,w3,Sib
6,1,0.588336192,w3,Sib
7,1,0.760383387,w3,Sib
8,1,0.458689459,w3,Sib
9,1,0.455184534,w3,Sib
10,1,0.740518962,w3,Sib
11,2,0.764705882,w3,Non-Sib
12,2,0.517241379,w3,Non-Sib
13,2,0.714285714,w3,Non-Sib
14,2,1,w3,Non-Sib
15,2,1,w3,Non-Sib
16,2,0.289473684,w3,Non-Sib
17,2,0.75,w3,Non-Sib
18,2,0.309090909,w3,Non-Sib
19,2,0,w3,Non-Sib
1,1,0,w4,Sib
2,1,0,w4,Sib
3,1,0.603448276,w4,Sib
4,1,1,w4,Sib
5,1,1,w4,Sib
6,1,0.532871972,w4,Sib
7,1,0.677419355,w4,Sib
8,1,0.192073171,w4,Sib
9,1,0.515503876,w4,Sib
10,1,0.732142857,w4,Sib
11,2,0.64,w4,Non-Sib
12,2,0.636363636,w4,Non-Sib
13,2,0,w4,Non-Sib
14,2,0.95,w4,Non-Sib
15,2,0.95,w4,Non-Sib
16,2,0.487179487,w4,Non-Sib
17,2,0.862068966,w4,Non-Sib
18,2,0.509433962,w4,Non-Sib
19,2,0,w4,Non-Sib
1,1,0,w5,Sib
2,1,0,w5,Sib
3,1,0.526143791,w5,Sib
4,1,0,w5,Sib
5,1,0,w5,Sib
6,1,0.471153846,w5,Sib
7,1,0.716981132,w5,Sib
8,1,0.318181818,w5,Sib
9,1,0.179487179,w5,Sib
10,1,1,w5,Sib
11,2,0,w5,Non-Sib
12,2,0.691358025,w5,Non-Sib
13,2,0,w5,Non-Sib
14,2,0.939393939,w5,Non-Sib
15,2,0.939393939,w5,Non-Sib
16,2,0.4375,w5,Non-Sib
17,2,0.75,w5,Non-Sib
18,2,0.607843137,w5,Non-Sib
19,2,0,w5,Non-Sib
