Rep,Male.Type,Mating.Number,Female.Type,Treat
1,Sib,9,Sib,Male.Choice
2,Sib,5,Sib,Male.Choice
3,Sib,3,Non-Sib,Male.Choice
4,Sib,4,Sib,Male.Choice
5,Sib,1,Non-Sib,Male.Choice
6,Sib,9,Sib,Male.Choice
7,Sib,1,Sib,Male.Choice
8,Sib,7,Sib,Male.Choice
9,Sib,2,Non-Sib,Male.Choice
10,Sib,2,Non-Sib,Male.Choice
11,Sib,1,Sib,Male.Choice
12,Sib,3,Non-Sib,Male.Choice
13,Sib,2,Non-Sib,Male.Choice
14,Sib,2,Non-Sib,Male.Choice
15,Sib,2,Sib,Male.Choice
16,Sib,1,Non-Sib,Male.Choice
17,Sib,4,Non-Sib,Male.Choice
18,Sib,1,Non-Sib,Male.Choice
19,Sib,2,Non-Sib,Male.Choice
20,Sib,4,Sib,Male.Choice
21,Sib,0,Non-Sib,Male.Choice
22,Sib,0,Non-Sib,Male.Choice
23,Sib,1,Non-Sib,Male.Choice
24,Sib,2,Non-Sib,Male.Choice
25,Sib,5,Sib,Male.Choice
26,Sib,1,Non-Sib,Male.Choice
27,Sib,3,Non-Sib,Male.Choice
1,Non-Sib,4,Sib,Male.Choice
2,Non-Sib,2,Sib,Male.Choice
3,Non-Sib,1,Non-Sib,Male.Choice
4,Non-Sib,2,Sib,Male.Choice
5,Non-Sib,2,Non-Sib,Male.Choice
6,Non-Sib,1,Sib,Male.Choice
7,Non-Sib,3,Sib,Male.Choice
8,Non-Sib,3,Sib,Male.Choice
9,Non-Sib,3,Non-Sib,Male.Choice
10,Non-Sib,1,Non-Sib,Male.Choice
11,Non-Sib,3,Sib,Male.Choice
12,Non-Sib,1,Non-Sib,Male.Choice
13,Non-Sib,1,Non-Sib,Male.Choice
14,Non-Sib,3,Non-Sib,Male.Choice
15,Non-Sib,0,Sib,Male.Choice
16,Non-Sib,1,Non-Sib,Male.Choice
17,Non-Sib,1,Non-Sib,Male.Choice
18,Non-Sib,3,Non-Sib,Male.Choice
19,Non-Sib,2,Non-Sib,Male.Choice
20,Non-Sib,2,Sib,Male.Choice
21,Non-Sib,1,Non-Sib,Male.Choice
22,Non-Sib,1,Non-Sib,Male.Choice
23,Non-Sib,3,Non-Sib,Male.Choice
24,Non-Sib,3,Non-Sib,Male.Choice
25,Non-Sib,0,Sib,Male.Choice
26,Non-Sib,5,Non-Sib,Male.Choice
27,Non-Sib,3,Non-Sib,Male.Choice
